"Pipeline","Stage","Command","Inputs","Outputs","Writes where","Resume support","Skip support","Manual actions","Status"
"top","Main BAT","Content-Factory-Запуск.bat","User menu selection","CLI/BAT stage calls","Project root terminals","N/A","N/A","Choose menu item","Works but production/dev/legacy mixed"
"top","START 10 Colab","START_YOUTUBE_VIDEO_PRODUCTION_10COLAB.bat","Hardcoded story id and worker configs","Watcher plus Yandex/Chrome Colab tabs","PowerShell plus browser profiles","Partial via watcher","Stale reclaim in watcher","Colab login/OAuth/run may require user","Partial production; hardcoded story; 10 browser workers separate from default 5 render workers"
"top","START watcher","START_YOUTUBE_VIDEO_WATCHER.bat","Hardcoded story id","watch-queue loop","output/youtube story reports and Drive reports","Yes per Drive queue","Stale/failed handling","Start command","Works for one hardcoded story"
"top","START_COLAB_ALL","START_COLAB_ALL.bat","configs/youtube_video_colab_workers.yaml","10 prepared notebook tabs","Browser profiles","N/A","N/A","Ensure profiles logged in and Colab runs","Launcher only"
"site","Library sampler","python -m orchestrator sample-library --source-dir <library> --target-dir stories/input --per-folder N --execute","Top-level source folders with txt files; not metadata genre","Selected txt files and manifests","stories/input plus .orchestrator/manifests and reports","No launch resume but collision-safe","Skips basename collisions and _series","Pick N/source; command not part of Site full auto","Automated standalone"
"site","Launch init","python -m orchestrator launch run-site-flow --name <launch> --stories-dir stories/input --bat-profile kokoro-drive --limit 0 --execute","stories/input txt files","manifest.json status.json launch tree","Запуски/<launch>","Yes existing launch reused","N/A","Choose launch/source","Automated"
"site","Phase A intake/selection","python -m orchestrator phase-a --run-branch site --resume --execute --launch-dir <launch>","Input txt files","phase_a_summary.json deferred.json selection/site info data","Запуски/<launch>/10_Временные_файлы/legacy/runs/site/<id>-a/_phase_a","Yes via --resume and state file","Deferred/failed rows tracked","Gemini accounts/browser can need attention","Semi-automated"
"site","Phase B","python -m orchestrator phase-b --deferred-manifest <deferred> --branch site --allow-scaffold --launch-dir <launch>","Phase A deferred.json","Phase B artifacts","Launch legacy runs/site","Yes if state says returncode 0","Stage skipped if already done","None","Automated"
"site","Runner site","python -m orchestrator run --pipeline site --story-id <id>-site --launch-dir <launch> --execute","Phase data and stories dir","Runner reports and wrapper outputs",".orchestrator/reports plus launch legacy output","Partial","N/A","External services","Automated shell with semi external stages"
"site","Text cleaning","bulk_text_cleaner wrapper","Raw/phase stories","cleaned_story.txt","Launch legacy output and 05_Рассказы mirror","File-based","No","None","Automated"
"site","Metadata/info","GeminiAutoWrapper and site info rendering","Cleaned text","site_info.json info.en.txt info.txt","Launch story site info folder","File-based","Retry via site-info-visual retry","Gemini browser/accounts","Semi-automated"
"site","Visual prompts table","content_combiner process/export","Cleaned/info data","stories_export.csv/xlsx and prompt hints","Launch visual folder or legacy content_combiner","Partial","N/A","None","Automated"
"site","Visual images","content_combiner distribute-images / import_site_visuals","User cover images","Story image in package","Обложки_ЗАГРУЗИТЕ_СЮДА and site package","No real resume","Missing image skips story","Upload/generate cover manually","Manual gap"
"site","TTS export","site_tts_stage export_drive_texts / site-tts kokoro-colab export","Site text and voice labels","Drive text queue and expected mp3 manifest","G:\Мой диск\ContentFactory_TTS\texts/job","Detects pending job","Existing mp3 skipped","None after command","Semi-automated"
"site","TTS wait/import","wait_drive_mp3_and_import / site-tts kokoro-colab import","Drive mp3 results","audio.mp3 and story mp3 files","Launch story TTS and/or output site","Yes pending job detection","manual_skipped and failed_terminal supported","Run Colab and Drive OAuth","Semi-automated"
"site","TTS skipped/missing","site-tts kokoro-colab mark-skipped / mark-missing-skipped","Expected mp3 names","manual_skipped.json and reports","Drive job dir and reports","Yes","Terminal skipped does not block batch","User decides skipped files","Manual repair command"
"site","Collect assets","site-publish collect-assets --launch-name <launch> --allow-partial-tts --execute","Text info mp3 images expected files","Complete story package story_manifest.json","Run-scoped publish root or legacy output/site","Re-run safe with force/size checks","skipped_tts_manual incomplete packages","Should be automatic but may be manual","Exists not fully one-button"
"site","Prepare publish package","site-publish prepare --launch-name <launch> --allow-partial-tts --execute","Complete story packages","_to_publish/To_Publish package and report","Run-scoped _to_publish or legacy To_Publish","Partial existing dest guarded","Missing audio/image/info/text skipped","None after assets ready","Automated command"
"site","Publish to site","site-publish publish --launch-name <launch> --execute / autopublisher wrapper","Prepared packages and site env","Supabase rows R2 objects publish reports","External site plus .orchestrator logs and run manifest","Partial idempotency uncertain","Only prepared packages are published","Site env/secrets required","Semi-production"
"site","Telegram publish","No implementation","Published story package","title cover post site link","Expected Запуски/<launch>/04_Telegram","N/A","N/A","Configure token/channel and implement stage","Missing"
"site","Verify runtime","python -m orchestrator launch verify-runtime --name <launch>","Launch files","Runtime stats","status stdout","Read-only","N/A","None","Works"
"site","Resume plan","python -m orchestrator launch resume-plan --name <launch>","Launch manifest/status/story statuses","Next-stage plan","stdout","Read-only","N/A","None","Works"
"site","Observed failed resumable launch","Запуски/SITE_FULL_20260513_1309/status.json","Launch snapshot","status failed current_stage visual can_resume true","Запуски/SITE_FULL_20260513_1309","Yes expected","N/A","Needs resume action decision","Regression fixture candidate"
"site","Final report","python -m orchestrator launch final-report --name <launch> --execute","Launch status and publish markers","ФИНАЛЬНЫЙ_ОТЧЁТ.json csv cleanup_manifest.json","Запуски/<launch>/06_Отчёты","Re-runnable","N/A","Currently separate command","Automated but not in full flow"
"site","Cleanup/delete","python -m orchestrator launch cleanup-plan/delete --name <launch>","Launch folder","Archive/delete report","Запуски and История_запусков","No","N/A","Explicit confirmation","Partial because root/Drive leftovers remain"
"youtube","Prefilter from site","python -m orchestrator youtube prefilter-from-site --site-run-id <site-run> --youtube-run-id <yt-run>","Site deferred.json and cleaned text","size yes/no and diagnostics","runs/youtube/<yt-run>/_selection","Re-run with force","Too short too long missing cleaned marked no","Provide site_run_id","Automated"
"youtube","Selection from site","python -m orchestrator youtube selection-from-site --site-run-id <site-run> --youtube-run-id <yt-run>","Size yes rows","Gemini selection input and handoff report","runs/youtube/<yt-run>/_gemini_selection","Partial by files","No selected stories stops cleanly","Gemini must produce outputs","Semi-automated"
"youtube","Continue after selection","python -m orchestrator youtube continue-after-selection --youtube-run-id <yt-run>","Gemini raw/output selection","selected yes/no and safe input manifest","runs/youtube/<yt-run>/_selection and _gemini_safe","Yes by files","Missing Gemini output becomes no","User/Gemini output","Semi-automated"
"youtube","Safe text","python -m orchestrator youtube safe-english-run / safe bridge","Selected cleaned story","safe_story.txt","output/youtube/<story>/02_safe_story","Per-story manifest/status","Missing safe output tracked","Gemini browser","Semi-automated"
"youtube","Promo insertion","python -m orchestrator youtube promo-run --story-id <story> --execute","safe_story.txt","text_ready_for_audio.txt promo_report.json","output/youtube/<story>/03_promo","Status command exists","No","Gemini/browser if anchor used","Semi-automated"
"youtube","Audio TTS","python -m orchestrator youtube tts-kokoro-colab export/import/verify","Promo text","narration.mp3","output/youtube/<story>/04_audio and Drive","Partial","Existing/missing reports","Run Colab/OAuth","Semi-automated"
"youtube","Characters/director prompts","python -m orchestrator youtube visuals-run --story-id <story> --auto-gemini --execute","Safe/promo/audio","characters and prompts","output/youtube/<story>/05_characters 06_prompts","Per-story file status","Validation/audit tools","Gemini browser","Semi-automated"
"youtube","Frames RunPod","python -m orchestrator youtube frames-runpod --story-id <story> --runpod-url <url> --execute","Prompts and RunPod URL","Frame images","output/youtube/<story>/07_frames","File/status based","Failed/pending frame status","Start RunPod and provide URL","Semi-automated"
"youtube","Prepare segments","python -m orchestrator youtube video prepare-segments --story-id <story> --execute","Narration and frames","video_timeline.json segment_jobs.json","output/youtube/<story>/08_video/manifests","Re-run with force","Blocks on missing assets","None","Automated"
"youtube","Export Drive job","python -m orchestrator youtube video export-job --story-id <story> --execute","Audio frames segment jobs","Drive video job and global_pending queue","G:\Мой диск\ContentFactory_YouTube\video_jobs\<story>","Backup previous job if exists","Missing assets block export","Drive sync availability","Automated"
"youtube","Full Drive flow","python -m orchestrator youtube video full-drive-flow --story-id <story> --execute","Prepared local video assets","Drive job plus worker command hints","Drive job and local report","Partial","N/A","Start Colab workers manually","Not full final-video flow"
"youtube","Setup workers","python -m orchestrator youtube video setup-colab-workers --story-id <story> --execute","Worker config and folder id","Colab scripts/notebook setup report","Drive scripts/status","N/A","N/A","Google Drive folder access","Automated setup"
